infocode	gt_value_count	missing_value_count	missing_values
AN202603251820745981	12	6	[38602099902.82, 11091718680.16, 906191957.92, 729581305.69, 149371881.27, 51478963727.86]
AN202603251820746324	7	7	[122515174, 35168026, 6724582, 10892666, -353449, 1009120, 175956119]
AN202603251820746696	6	4	[109895, 14666, 109895, 14666]
AN202603251820746737	6	2	[594, 6654]
AN202603251820747705	26	26	[5123849101.01, 2811056075.22, 779900747.02, 716524725.98, 544286877.08, 295018656.12, 32956385.3, 55681897.34, 5736872.61, 10630537.65, 154835396.5, 188889773.8, 1995659267.27, 1880535842.7, 308811229.07, 279961373.4, 59281018.26, 50796725.33, 46307169.02, 37624579.69, 911344.22, 3820211.08, 211945133.67, 126454165.23, 9264480541.03, 6456994563.54]
AN202603251820748152	9	7	[550.3, 3266, 816.1, 371.1, 265.5, 435.8, 15068.1]
AN202603251820749127	5	5	[780243, 43899, 159675, 78759, 1062576]
AN202603251820749890	8	5	[13594455106.46, 12850646826.07, 8738178.35, 3936410.75, 15711806536.82]
AN202603251820750154	7	3	[93996, 4191, 98187]
AN202603251820752214	6	6	[192085, 148235, 43850, 192085, 148235, 43850]
AN202603251820752545	3	2	[889452, 5132]
AN202603251820752547	6	6	[2180544, 179507, 697562, 266376, 22266, 3346255]
AN202603251820752569	6	6	[290088, 61657, 422782, 165163, 712870, 226820]
AN202603251820752593	3	3	[10427, 19212, 29639]
AN202603251820752764	6	2	[756083, 756083]
AN202603251820752802	4	4	[151050619, 12903710, 92657, 164046986]
AN202603251820752947	12	11	[2038600, 1882067, 156533, 477850, 502044, -24194, 181479, 26229, 2724158, 2565590, 158568]
AN202603251820753096	10	5	[82985, 41762, 36657, 836, 162240]
AN202603251820753187	5	5	[130126, 413754, 20691, 1664, 566235]
AN202603251820753201	15	15	[65484, 34319, 31165, 49645, 29986, 19659, 102556, 42601, 59955, 14317, 16959, -2642, 232002, 123865, 108137]
AN202603251820753362	14	14	[3593414437.31, 1997436408.01, 250324094.83, 160573411.09, 194605175.29, 167436452.68, 75193374.95, 50058397.45, 33609567.92, 26774265.02, 612924377.14, 535848374.42, 4760071027.44, 2938127308.67]
AN202603251820753416	3	3	[132034, 7078, 139112]
AN202603261820757123	6	4	[2991131, 72169, 2991131, 72169]
AN202603261820762401	3	3	[138301483, 26101945, 164403428]
AN202603261820762494	4	4	[8420019, 5451243, 279824, 14151086]
AN202603261820766852	3	2	[5392, 907162]
AN202603261820767650	3	1	[73191]
AN202603261820767719	6	6	[182992, 128117, 54875, 182992, 128117, 54875]
AN202603261820767862	12	8	[2480061, 421496, 29130, 326166, 13187, 40490, 2522378, 788152]
AN202603261820768850	8	6	[6657, 13118, 9350, 16607, 40601, 32793]
AN202603261820769002	7	7	[502442, 1140398, 50413, 215702, 351431, 55485, -35075]
AN202603261820769042	10	5	[96067515, 105476787, 51920379, 111390065, 364854746]
AN202603261820770711	6	6	[144120, 14676, 36100, 2294, 7603, 204793]
AN202603261820771615	6	6	[854954, 722777, 132177, 854954, 722777, 132177]
AN202603261820771688	3	1	[520]
AN202603261820771997	8	2	[29302, 539834]
AN202603261820772751	6	2	[11680, 22446181]
AN202603261820773116	6	2	[203, 538]
AN202603261820773241	5	1	[139193]
AN202603261820773408	8	4	[1415171, 553785, 368587, 2337813]
AN202603261820773566	7	2	[528909, 13290]
AN202603261820773644	5	1	[700]
AN202603261820774224	6	4	[54160, 18061, 54160, 18061]
AN202603261820774283	8	4	[359, 318380, 2099, 320838]
AN202603261820774900	9	3	[11793, 45453, 57246]
AN202603261820775058	4	1	[14928]
AN202603261820775085	4	2	[221, 25874]
AN202603261820775161	9	9	[1486633, 369231, 1117402, 1331390, 1264660, 66730, 2818023, 1633891, 1184132]
AN202603261820775361	8	2	[217, 88]
AN202603261820775817	4	4	[13601982, 24449, 216273, 13842704]
AN202603261820776650	20	20	[3174057, 2187211, 2134566, 1775316, 148350, 142000, 11248578, 8961759, 2339995, 1778564, 1497932, 974529, 2546847, 1290661, 277430, 199270, 333311, 285169, 23701066, 17594479]
AN202603261820776871	6	2	[2, 4475]
AN202603261820776879	6	6	[6262595, 32844361, 46717154, 14303592, 5205662, 105333364]
AN202603261820776885	9	6	[2801312, 3340954, 240359, 506325, 3041671, 3847279]
AN202603261820776932	3	3	[163946607, 1468151, 165414758]
AN202603261820777155	3	2	[90848, 648]
AN202603261820777201	9	3	[45133, 1963, 47096]
AN202603261820777243	4	4	[600946, 427885, 1866035, 837204]
AN202603261820777363	9	3	[173132, 6712, 4031329]
AN202603261820777408	3	3	[68997, 114043, 183040]
AN202603261820777423	4	1	[732]
AN202603261820777543	3	3	[138744, 23018, 161762]
AN202603261820777669	6	1	[810]
AN202603261820777698	6	4	[337266, 22513, 337266, 22513]
AN202603261820777799	5	5	[669932, 8699216, 9193194, 19107405, 37669747]
AN202603261820777853	3	3	[1551, 8094, 9645]
AN202603261820778262	3	3	[896392, 4440, 900832]
AN202603261820778867	8	6	[15868339, 11664565, 2060962, 20547, 90288, 11775400]
AN202603261820778899	7	6	[1404149, 1366209, 1510790, 1078867, 203978, 67758]
AN202603261820779128	6	1	[892]
AN202603261820779155	6	2	[722413, 636864]
AN202603261820779191	4	2	[292, 109]
AN202603261820779220	8	5	[13385, 686, 225, 225, 23496]
AN202603261820779390	8	4	[49646, 2064, 470, 52180]
AN202603261820779434	20	20	[38395834507.41, 18978317766.15, 1358480377.49, 541675088.16, 120419542.82, 53099135.79, 33717317.71, 21900122.55, 180051461.59, 82866732.49, 279011808.88, 159082380.58, 43193097874.88, 42846200728.25, 10376179655.23, 10139685996.35, 10187527335.17, 10017358649.01, 104124319881.18, 82840186599.33]
AN202603261820779458	8	1	[-390950]
AN202603261820779508	12	8	[794199, 703146, 432470, 351230, 304003, 183025, 1530672, 1237401]
AN202603261820779535	6	3	[346073, 67792, 413865]
AN202603261820779570	3	2	[109031, 368]
AN202603261820779610	4	4	[56205, 245431, 21309, 322945]
AN202603261820779616	6	4	[6800957, 68908, 6800957, 68908]
AN202603261820779655	7	6	[84487, 41488, 54021, 65386, 17736, 39211]
AN202603261820779658	4	4	[1901453, 299228, 93398, 2294079]
AN202603261820779718	3	2	[1330506, 128762]
AN202603261820779804	4	4	[382969, 982064, 14953, 1379986]
AN202603261820780122	8	6	[28652, 3249, 41338, 14958, 354, 44941]
AN202603261820780123	8	4	[113768, 970440, 216944, 1301152]
AN202603271820786040	6	6	[12581418, 5079206, 2988390, 188787, 39248, 20877049]
AN202603271820786591	12	4	[154913, 310483, 140929, 606325]
AN202603271820786636	6	2	[17941, 17941]
AN202603271820793587	6	6	[2266203, 392661, 99216, 185030, 11039, 2954149]
AN202603271820793745	7	5	[4970974, 149779, 83718, 94310, 13623]
AN202603271820798708	12	7	[669797052, 3613170295, 1490566622, 5198333436, 939948941, 18806323315, 11911816346]
AN202603271820798750	10	10	[1138224, 1000945, 215069, 169350, 136970, 117938, 34672, 32749, 1524935, 1320982]
AN202603271820798953	6	3	[128958, 32761, 161719]
AN202603271820799213	7	7	[249228678, 65358822, 509636, -8657255, 169945832, 3460599, 18611044]
AN202603271820800409	8	2	[799930, 195]
AN202603271820800534	10	2	[1322839, 1097121]
AN202603271820801411	6	1	[36]
AN202603271820802100	5	1	[8200566]
AN202603271820802578	7	1	[803]
AN202603271820802758	13	9	[4913770, 57178478, 14793406, 3219877, 2856312, 1553049, 24293130, 18401296, 99696311]
AN202603271820802816	8	4	[14184, 76970, 56034, 147188]
AN202603271820802832	4	1	[680]
AN202603271820802858	4	2	[251, 405]
AN202603271820804424	10	1	[522]
AN202603271820805880	14	14	[776359572.93, 607834903.77, 1083257899.31, 903886338.31, 1212330812.04, 1032714570.99, 211433230.59, 172875822.1, 126736931.67, 97001105.23, 26737904.06, 23018850.69, 3436856350.6, 2837331591.09]
AN202603271820806747	6	2	[1085267, 1085267]
AN202603271820807231	2	2	[28915, 28915]
AN202603271820807318	8	4	[38703, 2028, 2233, 42964]
AN202603271820807608	5	5	[4925207, 197100, 2790736, 1888567, 48804]
AN202603271820808018	12	6	[59906, 3497, -401, -926, 8550, 70626]
AN202603271820808924	6	6	[584122, 471008, 113114, 584122, 471008, 113114]
AN202603271820809543	8	8	[3895604, 467818, 91860, 832649, 549392, 137113, 82904, 6057340]
AN202603271820809586	4	2	[16146, 1170]
AN202603271820809759	4	4	[92544, 37357, 39227, 15960]
AN202603271820809939	7	1	[781]
AN202603271820810601	6	6	[22413044, 3568864, 253513, 3284564, 528595, 30048580]
AN202603271820811457	15	11	[138816, 72523, 9142, 10423, 9181, 7837, 129, 36, 93, 157175, 90876]
AN202603271820811607	6	2	[451, 712]
AN202603271820811681	6	4	[399034, 7709, 399034, 7709]
AN202603271820811803	18	1	[8075]
AN202603271820811922	8	8	[15888, 320272, 124954, 17928, 6255, 114474, 28431, 12342]
AN202603271820812286	3	3	[14020, 6169, 20189]
AN202603271820812820	3	3	[1664747900.33, 40002742.24, 1704750642.57]
AN202603271820812958	6	4	[7167544, 4406139, 188634, 4594773]
AN202603271820813082	8	5	[526600, 107634, 579, 364, 634598]
AN202603271820813084	7	7	[967588, 14920, 179759, 2272, 50523, 221752, 1436814]
AN202603271820813096	8	8	[15805520225, 9269935716, 12780537591, 9741652355, 116642247, 95213433, 28702700063, 19106801504]
AN202603271820813211	6	6	[59108, 47315, 11793, 59108, 47315, 11793]
AN202603271820813335	5	5	[6488735, 1574434, 1860967, -6551, 9917585]
AN202603271820813464	12	4	[18070, 7564, 120827, 146461]
AN202603271820813814	19	10	[1433794761.49, 823042368.69, 772352213.18, 73263668.95, 188671717.29, 65937075.3, 27300146.91, 41027708.76, 47275173.02, 3472664833.59]
AN202603271820814022	6	4	[626901, 10223, 626901, 10223]
AN202603271820814063	12	8	[248278, 49230, 80801, 13808, 6046, 4647, 335125, 67685]
AN202603271820814076	14	14	[347479, 122921, 1848, 428, 98956, 20123, 49935, 4633, 2914, 122, 412, 276, 501544, 148503]
AN202603271820814106	6	6	[57000240, 6663716, 1508397, 637169, 29411, 65838933]
AN202603271820814231	6	6	[64441, 62037, 2404, 64441, 62037, 2404]
AN202603271820814256	10	8	[493, 2737, 251, 8, -45, 5131, 906, 41987]
AN202603271820814370	6	6	[651645, 47151, 48460, 15865, 4322, 767443]
AN202603271820814412	10	10	[667802, 573083, 637759, 233954, 104040, 29022, 221380, 2036, 114441, 2583517]
AN202603271820814414	4	4	[96658494, 12141911, 740480, 109540885]
AN202603271820814443	8	4	[165793, 82706, 554, 249053]
AN202603271820814462	8	4	[328907610, 2526846, 32900, 390774]
AN202603271820814478	5	5	[8479621, 292418, 2641458, 3423936, 14837433]
AN202603271820814482	9	9	[278435, 262898, 15537, 484932, 390822, 94110, 763367, 653720, 109647]
AN202603271820814600	9	6	[167143, 31917, 102242, 22544, 269385, 54461]
AN202603271820814605	6	4	[412668, -30273, 412668, -30273]
AN202603271820814889	8	4	[1009593, 116309, 47666, 1173568]
AN202603271820814920	6	4	[45650, 22593, 45650, 22593]
AN202603271820815050	5	1	[427]
AN202603271820815058	9	5	[331056, 83447, 15682, -5967, 424218]
AN202603271820815404	6	2	[719, 415]
AN202603271820815472	4	4	[24462, 6495, 1881, 32838]
AN202603271820815867	6	3	[1251029135.97, 17165884.28, 1268195020.25]
AN202603271820815868	6	4	[332826, 9742, 2914, 9215]
AN202603271820817221	6	4	[226248, 717010, 226248, 717010]
AN202603271820817431	4	4	[11220573, 3437443, 53307, 14711323]
AN202603271820817497	12	12	[140207176872.34, 115970785673.49, 45227649162.89, 44018282257.28, 3341834835.4, 3336117738.38, 1146881403.06, 1003288911.39, -45778576902.01, -45867419255.17, 144144965371.68, 118461055325.37]
AN202603271820817507	6	6	[6248764, 138468013, 8182351, 87185994, 1040095, 241125217]
AN202603271820817899	9	1	[257]
AN202603271820817902	4	2	[26730, 2585]
AN202603271820817995	5	3	[676328, 206937, 58724]
AN202603271820818011	18	12	[22931, 81928, 13105, 35224, 622, 1037, 31651, 104810, 3864, 35792, 72173, 258791]
AN202603271820818548	6	4	[12995361, 71436, 12995361, 71436]
AN202603271820819056	6	1	[115]
AN202603271820819069	6	1	[434]
AN202603271820819081	4	2	[78640, 9792311]
AN202603271820819097	9	6	[5699074, 4082835, 4623398, 2181189, 10322472, 6264024]
AN202603271820819106	8	3	[989673, 1355, 5382]
AN202603271820819177	5	5	[2140560, 1796806, 1377035, 106264, 5420665]
AN202603291820839080	6	6	[135029, 326429, 1822223, 578857, 1931, 2864469]
AN202603291820839111	5	5	[448722, 109564, 26667, 783, 585736]
AN202603291820839143	6	1	[260951]
AN202603291820839454	8	4	[1914252, 2116648, 403091, 4433991]
AN202603291820839628	8	4	[373732, 832291, -7098, 1198925]
AN202603291820840660	4	4	[2483326, 2820371, 268025, 5571722]
AN202603301820852279	6	6	[30877, 19815, 7677, 1475, 38554, 21290]
AN202603301820856694	6	3	[13269256, 40025, 13309281]
AN202603301820856763	8	4	[28177530524.14, 25695912500.39, 11130829599.28, 65004272623.81]
AN202603301820856767	6	4	[3565995596.74, 1217051289.13, 6832800615.35, 1873194299.58]
AN202603301820856880	6	4	[21454108, 1444529, 21454108, 1444529]
AN202603301820858466	8	5	[25947, 9384, 938, 940, 199]
AN202603301820864505	8	6	[5962992, 254618, 145817, 43141, 41225, 338984]
AN202603301820868236	6	6	[506892, 398697, 108195, 506892, 398697, 108195]
AN202603301820868334	6	4	[121514, 9937, 121514, 9937]
AN202603301820868375	6	3	[9719, 5246, 14965]
AN202603301820868985	8	2	[499, 3140]
AN202603301820869093	4	2	[31858, 25268]
AN202603301820869565	5	5	[630747, 19254, 38630, 38005, 726636]
AN202603301820869787	9	9	[7261237, 6465170, 796067, 1243281, 479715, 763566, 8504518, 6944885, 1559633]
AN202603301820871262	8	8	[133126, 31037, 23988, 1418, 12890, 3749, 170004, 36204]
AN202603301820871552	15	5	[625525, 49634, 2090, 26192, 703441]
AN202603301820872426	6	6	[1023274, 918542, 104732, 1023274, 918542, 104732]
AN202603301820872797	6	6	[1118102382.08, 11200330.69, 27622078.99, 2410497.68, 376881.67, 1159712171.11]
AN202603301820873270	10	6	[396730645.42, 15928812.2, 9185403.48, 37337355.08, 14631926.49, 436476787.59]
AN202603301820873510	5	5	[11337668283, 8455417270, 5314501683, 1864684977, 26972272213]
AN202603301820874291	8	8	[57009837078.46, 53750913513.47, 29370187737.42, 27264729304.67, 10428639021.32, 10289230066.84, 96808663837.2, 91304872884.98]
AN202603301820874302	6	3	[309221, 48046, 357267]
AN202603301820874436	15	15	[1836962, 927656, 909306, 513887, 498384, 15503, 96342, 788, 95554, 311300, 307162, 4138, 2758491, 1733990, 1024501]
AN202603301820874853	16	8	[6476422202.79, 1529284223.52, 229531430.07, 13444492.96, 208181527.93, 104963.91, 145389246.23, 8602358087.41]
AN202603301820875302	8	8	[4877750348, 10626879203, 7545362181, 1579842324, 1288497724, 13181055685, 1418531925, 40517919390]
AN202603301820875462	12	9	[896787896, 821278396, 60752321, 19145391, 13975328, 16842445, 10491106, 30445055, 23169817]
AN202603301820875466	3	1	[242]
AN202603301820875759	4	1	[11]
AN202603301820876234	6	6	[931737, 17303, 28462, 45322, 70670, 1093494]
AN202603301820876262	6	6	[556925, 539092, 17833, 556925, 539092, 17833]
AN202603301820876437	11	6	[411101, 457269, 300478, 8346, -98961, 1078233]
AN202603301820876908	11	7	[6113, -3166, -2741, 14130, -18, 20243, -5925]
AN202603301820876990	6	1	[420]
AN202603301820877223	5	5	[118796, 6942, 20916, 9935, 156589]
AN202603301820877800	4	4	[24414079, 13191656, -2395309, 35210426]
AN202603301820877806	3	1	[16577]
AN202603301820879120	6	4	[21245839825.85, 941127046.72, 1613056259.54, 28814589212.28]
AN202603301820879203	6	4	[104175, 20843, 104175, 20843]
AN202603301820879687	14	7	[234443, 91800, 39635, 33837, 32397, 2993, 435105]
AN202603301820879733	10	10	[27324044, 4004411, 7327752, 2340844, 2393466, 468922, 6183864, 1701711, 43229126, 8515888]
AN202603301820879859	8	5	[112, 54, 7120, 2165, 19852]
AN202603301820879862	5	1	[17353799]
AN202603301820880201	5	5	[168238, 36922, 306681, 703, 512544]
AN202603301820880268	7	2	[23209, 15479890]
AN202603301820880322	7	6	[81640, 34944, 6574, 1261, 1411, 744]
AN202603301820880332	4	4	[427833, 26094, 10241, 464168]
AN202603301820880407	4	2	[7120, 64630]
AN202603301820880573	8	1	[92]
AN202603301820880643	9	6	[189284, 22151, 11675, 377, 200959, 22528]
AN202603301820880669	6	4	[339427, 30384, 303029, 7831]
AN202603301820880809	5	5	[14539856250.65, 7742588995.61, 118564899.57, 1600647329.85, 24001657475.68]
AN202603301820880847	4	1	[22484]
AN202603301820880849	10	5	[119127, 4904, 977, 2631, 127639]
AN202603301820880859	8	4	[322771, 127420, 143347, 593538]
AN202603301820881019	6	1	[223]
AN202603301820881041	24	18	[2817808, 1349545, 196221, 125955, 315560, 217960, 202213, 67973, 74598, 43939, 16912, 1344, 342907, 181456, 161451, 5772935, 3804768, 1968167]
AN202603301820881053	6	6	[28564, 12171, 16393, 28564, 12171, 16393]
AN202603301820881113	6	6	[32682, 24643, 8039, 32682, 24643, 8039]
AN202603301820881457	4	1	[619]
AN202603301820881458	4	4	[385794, 528353, 88396, 1002543]
AN202603311820887730	6	1	[246]
AN202603311820887911	5	4	[551, 41, 12, 606]
AN202603311820888372	7	1	[868]
AN202603311820889064	8	7	[38499111, 6585222, 16758818, 3218564, 5924760, 1392285, 11196071]
AN202603311820891547	6	4	[213180, 29380, 213180, 29380]
AN202603311820909383	8	5	[1761276, 1636115, 258570, 965242, 2985088]
AN202603311820909420	5	5	[10580, 2169, 4524, 1313, 18586]
AN202603311820909464	4	2	[705, 202]
AN202603311820915356	8	1	[612]
AN202603311820915496	8	8	[1915618, 5654421, 3308, 599037, 19524901, 612, 6254070, 21443827]
AN202603311820918045	4	4	[26855887, 30795433, -924473, 56726847]
AN202603311820918541	8	4	[209296, 1447, 20482, 231225]
AN202603311820919622	4	1	[11961]
AN202603311820921374	11	4	[96483, 182862, 13601, 5225637]
AN202603311820922298	6	4	[89920, 40673, 89920, 40673]
AN202603311820922474	6	5	[170, 13204, 626, 4384, 792]
AN202603311820923233	9	6	[73470, 12484, 47940, 493, 121410, 12977]
AN202603311820923275	5	5	[3849231, 1903240, 737161, 100477, 6590109]
AN202603311820923283	10	5	[269014, 64849, 11023, 436, 345322]
AN202603311820923451	5	5	[88757, 294304, 166772, 46872, 596705]
AN202603311820923760	6	3	[1000006, 12405, 1012411]
AN202603311820924004	8	5	[82324, 2652, 556, 332, 85308]
AN202603311820924049	6	2	[94954, 94954]
AN202603311820924380	3	3	[31599, 162032, 193631]
AN202603311820924628	5	5	[950, 37250, 1069, 883, 40152]
AN202603311820924634	6	3	[15243, 644, 15887]
AN202603311820924681	4	3	[25995070, 3809284, 448359]
AN202603311820924700	9	9	[237164, 145525, 91639, 16257, 9635, 6622, 253421, 155160, 98261]
AN202603311820924933	6	4	[4025, 9050, 4025, 9050]
AN202603311820925025	10	5	[334228649.57, 433009486.1, 497703889.19, 3620574.72, 1268562599.58]
AN202603311820925414	3	2	[140978, 186936]
AN202603311820925426	12	7	[25781, 953, 460, 1621, 332, 12897, 6152]
AN202603311820925485	9	6	[53099, 2915, 10002, 17858, 63101, 20773]
AN202603311820925529	6	4	[1344301, 836864, 1344301, 836864]
AN202603311820925561	4	1	[2304056]
AN202603311820925630	6	4	[12972, 23179, 12972, 23179]
AN202603311820926232	6	6	[278817739.33, 250658260.74, 8733807.25, 33165738.25, 287551546.58, 283823998.99]
AN202603311820926238	5	5	[6822954, 2490172, 1986642, -822739, 10477029]
AN202603311820926691	5	4	[55952639, 85646035, 3980000, 145591164]
AN202603311820926692	4	4	[16701, 2032, 335, 19068]
AN202603311820926853	3	3	[48353, 5956, 54309]
AN202603311820926897	5	2	[682, 41]
AN202603311820926945	5	5	[33115068, 3461879, 2266643, 1397302, 40240892]
AN202603311820927493	8	8	[17590, 15199, 14387, 5844, 28850, -7376, 60827, 13667]
AN202603311820927577	12	1	[237]
AN202603311820928110	4	4	[145, 12731, 184, 13060]
AN202603311820928201	12	12	[436682337.17, 397939483.89, 187862238.82, 183090354.15, 159208344.67, 149795041, 12328337.69, 9930017.86, 30538540.68, 27295175.16, 826619799.03, 768050072.06]
AN202603311820928435	6	2	[3015, 3015]
AN202603311820928567	9	8	[47613, 191023, 3487, 1770, 3935, 1297, 49650, 9975]
AN202603311820928741	6	6	[195817, 246610, -50793, 195817, 246610, -50793]
AN202603311820928899	3	1	[283]
AN202603311820928905	12	9	[93536, 2383, 617, 314, 98048, 4180, 641, 3653, 11171]
AN202603311820928956	6	4	[5960477, 9940976, 6589515, 15230537]
AN202603311820929072	5	5	[16913, 3806, 151012, 49503, 221234]
AN202603311820929116	5	1	[840]
AN202603311820929351	3	3	[3514101, 22515, 3536616]
AN202603311820929501	5	4	[394, 2183, 83, 37]
AN202604011820935556	6	3	[72321, 1693, 74014]
AN202604011820950835	12	12	[36465847, 18668111, 4041701, 1175851, 2677175, 922549, 236101, 203992, 2035342, 408607, 45456166, 21379110]
AN202604021820994007	4	4	[285512780.82, 1518875444.29, 304992098.01, 2109380323.12]
AN202604171821308129	9	5	[1593, 1762, 11208, 3355, 7853]
AN202604221821467690	5	4	[57027, 53943, 335, 120957]
AN202604221821469001	22	22	[1336393762.77, 1021623464.44, 687316044.92, 626436625.84, 72205250.37, 36949286.68, 210484707.52, 40607212.6, 227051362.59, 168478857.96, 1872331.66, 479922.48, 5302495.88, 4768400.2, 9701504.01, 9304906.75, 1378559.34, 828437.34, 9598213.56, 5089681.27, 2561304232.62, 1914566795.56]
AN202604231821510940	6	6	[6248764, 138468013, 8182351, 87185994, 1040095, 241125217]
AN202604241821525418	21	14	[1993958, 556597, 1695070, 1156305, 1365240, 340829, 661097, 366166, 55720, 85797, 110420, 55284, 5881505, 2560978]
AN202604241821544211	6	6	[3063300, 2991131, 72169, 3063300, 2991131, 72169]
AN202604241821557334	5	3	[2533795, 941544, 520066]
AN202604241821571310	6	2	[253705, 328926]
AN202604271821636573	14	14	[31829668346, 18551056405, 197443225, 99266643, 113104504, 63764187, 171459311, 56779791, 4811703, 4108710, 157006575, 110174069, 32473493664, 18885149805]
AN202604281821667528	4	4	[67224, 143372, 62540, 273136]
AN202604281821667986	4	3	[83057, 13943, 19079]
AN202604281821674454	3	3	[347738, 44485, 392223]
AN202604281821686846	9	1	[257]
AN202604281821697089	7	6	[74321, 339807, 360291, 114362, 349914, -532000]
AN202604281821701805	4	4	[302203, 33321, 1721, 337245]
AN202604291821755916	4	4	[87938, 153878, 47065, 288881]
AN202604291821784132	5	5	[390348.31, 80985.88, 511945.25, -29336.78, 953942.66]
AN202604301821868292	6	4	[58662, 130674, 58662, 130674]
AN202604301821869130	6	3	[1767, 2645, 4412]
AN202604301821873304	6	6	[248012, 56975, 954641, 147914, 1202653, 204889]
AN202604301821875736	10	5	[44521, 4451, 117197, 4478, 170647]
AN202604301821878162	4	4	[106, 1518, 11193, 12817]
AN202605051821967163	6	5	[4024, 3250, 7788, 3749, -187]
AN202605121822216651	3	3	[6514, 1381, 7895]
AN202605131822245606	8	3	[10812582, 14245154, 3049555]
AN202605131822257570	6	4	[713474, 402099, 713474, 402099]
AN202605131822280466	6	6	[20461, 13136, 93679, 61400, 114140, 74536]
AN202605181822397618	4	4	[26001, 6226, -152, 32075]
AN202605181822407802	3	1	[60640]
AN202605201822502643	3	1	[419]
AN202605261822892088	7	2	[577, 436]
AN202605271822914453	3	3	[1613224, 803489, 2416713]
AN202605271822920929	10	5	[999163, 1272730, 1737674, 1249654, 5259221]
AN202605281822931817	8	8	[207837, 174548, 1357, 104014, 91650, 37557, 8788, 625751]
AN202605281822950973	8	4	[34819, 53793, 63294, 151906]
AN202605281822951454	8	4	[8374, 13071, 11936, 33381]
AN202605291823027246	5	4	[17551, 20001, 5895, 3447]
AN202606091823400567	4	4	[1138284, 235909, 15026, 1389219]
AN202606121823514542	4	4	[67647, 2702, 34107, 104456]
AN202606121823519684	7	2	[29, 2]
AN202606151823562162	5	5	[8091324, 24832, 3329, 63658, 8183143]
AN202606151823570220	4	1	[310]
AN202606171823642320	5	3	[498, 675, 3]
AN202606181823673259	7	1	[615]
AN202606181823675904	5	1	[699]
AN202606301826610289	5	2	[270, 993]
